Problem,Cargo,Tightness,Success Mean,Success Variance,Computation Time Mean,Computation Time Variance,Heuristic Computation Time Mean,Heuristic Computation Time Variance,States Evaluated Mean,States Evaluated Variance,Heuristic States Evaluated Mean,Heuristic States Evaluated Variance,Dead Ends Mean,Dead Ends Variance
Prob-4-12-4-1-20-1_125-104,1,1.125000,1.0,0.0,0.776333333333,3.09195402299e-05,0.00196666666667,3.09195402299e-07,1.0,0.0,120.0,0.0,0.0,0.0
Prob-4-12-4-3-29-1_125-449,3,1.125000,0.0,0.0,1799.61666667,0.318386666667,None,None,None,None,None,None,1273.85714286,48211.1428571
Prob-4-12-4-1-22-1_125-114,1,1.125000,1.0,0.0,0.585,0.000115517241379,0.0016,3.86206896552e-07,1.0,0.0,28.0,0.0,0.0,0.0
Prob-4-12-4-3-11-1_25-358,3,1.250000,0.0,0.0,1704.67333333,10.4917264368,None,None,None,None,None,None,12.0,0.0
Prob-4-12-4-3-1-1_25-308,3,1.250000,1.0,0.0,981.955666667,15.7261081609,0.637266666667,0.00192496091954,308.0,0.0,202544.0,0.0,54.0,0.0
Prob-4-12-4-2-18-1_125-244,2,1.125000,1.0,0.0,4.14166666667,0.468014367816,0.0202666666667,1.29609195402e-05,11.0,0.0,1357.0,0.0,0.0,0.0
Prob-4-12-4-3-2-2_0-311,3,2.000000,1.0,0.0,0.948666666667,0.0442188505747,0.0016,3.86206896552e-07,1.0,0.0,295.0,0.0,0.0,0.0
Prob-4-12-4-1-28-1_5-142,1,1.500000,1.0,0.0,0.855,0.0656327586207,0.00163333333333,3.7816091954e-07,1.0,0.0,302.0,0.0,0.0,0.0
Prob-4-12-4-1-5-2_0-26,1,2.000000,1.0,0.0,0.657666666667,0.0016116091954,0.00176666666667,3.91954022989e-07,1.0,0.0,75.0,0.0,0.0,0.0
Prob-4-12-4-1-26-1_0625-135,1,1.062500,1.0,0.0,1.024,0.000114482758621,0.0039,3e-07,3.0,0.0,85.0,0.0,0.0,0.0
Prob-4-12-4-1-19-1_5-97,1,1.500000,1.0,0.0,0.589666666667,3.7816091954e-05,0.00143333333333,4.6091954023e-07,1.0,0.0,30.0,0.0,0.0,0.0
Prob-4-12-4-2-13-2_0-216,2,2.000000,1.0,0.0,0.996666666667,0.0087816091954,0.00246666666667,4.64367816092e-07,1.0,0.0,146.0,0.0,0.0,0.0
Prob-4-12-4-3-11-1_125-359,3,1.125000,0.0,0.0,1787.428,5.99560965517,None,None,None,None,None,None,14.0,0.0
Prob-4-12-4-3-28-2_0-441,3,2.000000,1.0,0.0,0.659666666667,0.0086791954023,0.00116666666667,2.12643678161e-07,1.0,0.0,234.0,0.0,0.0,0.0
Prob-4-12-4-1-17-1_25-88,1,1.250000,1.0,0.0,0.624333333333,5.98850574713e-05,0.0014,3.1724137931e-07,1.0,0.0,47.0,0.0,0.0,0.0
Prob-4-12-4-2-18-1_5-242,2,1.500000,1.0,0.0,0.808,0.033995862069,0.00196666666667,5.16091954023e-07,1.0,0.0,119.0,0.0,0.0,0.0
Prob-4-12-4-3-15-1_5-377,3,1.500000,0.0,0.0,1799.84782609,0.430963241107,None,None,None,None,None,None,788.083333333,23721.2101449
Prob-4-12-4-1-1-1_25-8,1,1.250000,1.0,0.0,0.582666666667,0.000137471264368,0.00196666666667,4.47126436782e-07,1.0,0.0,26.0,0.0,0.0,0.0
Prob-4-12-4-2-8-1_125-194,2,1.125000,1.0,0.0,50.6256666667,2.30783229885,0.320733333333,0.000989581609195,248.0,0.0,16760.0,0.0,19.0,0.0
Prob-4-12-4-3-0-2_0-301,3,2.000000,1.0,0.0,295.810333333,15.2377481609,0.416166666667,0.00133338505747,272.0,0.0,121630.0,0.0,64.0,0.0
Prob-4-12-4-3-2-1_25-313,3,1.250000,0.0,0.0,1800.36045455,0.353280735931,None,None,None,None,None,None,204.52173913,900.351778656
Prob-4-12-4-3-11-2_0-356,3,2.000000,1.0,0.0,676.485666667,28.7410047126,0.0689666666667,2.01712643678e-05,34.0,0.0,397618.0,0.0,4.0,0.0
Prob-4-12-4-2-19-2_0-246,2,2.000000,1.0,0.0,1.068,0.000464827586207,0.0026,6.62068965517e-07,1.0,0.0,146.0,0.0,0.0,0.0
Prob-4-12-4-3-28-1_0625-445,3,1.062500,0.0,0.0,1796.24714286,3.53457142857,None,None,None,None,None,None,181.045454545,335.854978355
Prob-4-12-4-1-24-1_5-122,1,1.500000,1.0,0.0,0.569333333333,2.02298850575e-05,0.0013,2.1724137931e-07,1.0,0.0,17.0,0.0,0.0,0.0
Prob-4-12-4-2-8-1_5-192,2,1.500000,1.0,0.0,0.762,0.0388717241379,0.00206666666667,6.85057471264e-07,1.0,0.0,110.0,0.0,0.0,0.0
Prob-4-12-4-1-24-1_0625-125,1,1.062500,1.0,0.0,0.566,7.31034482759e-05,0.00143333333333,2.54022988506e-07,1.0,0.0,17.0,0.0,0.0,0.0
Prob-4-12-4-3-28-1_25-443,3,1.250000,0.0,0.0,1800.63714286,0.445771428571,None,None,None,None,None,None,216.545454545,49.6883116883
Prob-4-12-4-3-2-1_0625-315,3,1.062500,0.0,0.0,1798.37363636,0.716424242424,None,None,None,None,None,None,304.173913043,58.9683794466
Prob-4-12-4-3-11-1_0625-360,3,1.062500,0.0,0.0,1785.39966667,3.56243781609,None,None,None,None,None,None,12.0,0.0
